Province,Nearest major airport,Range/Region,Year first climbed,Name,Convenient Center,Difficulty,Country,Most recent eruption,Best months for climbing,Id,Elevation (meters),Heights,First successful climber(s),State,Longitude,Volcanic status,Elevation (feet),Latitude,Continent
,geneve,pennine alps,,pigne de la lé,grimentz,basic snow/ice climb,Switzerland,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4173,3396.0,11142 ft/3396 m,,,7.61099,,11142.0,46.08344,europe
,santander,cordillera cantabrica,,candina,laredo,scramble,Spain,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4178,489.0,1604 ft/489 m,,,-3.345135,,1604.0,43.409939,europe
,logan international,white mountains,,"carrigain, mount",bartlett,walk up,United States,,jul,995,1433.0,4700 ft/1433 m,,new hampshire,-71.4469,,4700.0,44.0936,north america
,seattle-tacoma,olympic mountains,,sentinel peak,olympia,scramble,United States,,"may, jun, jul, aug, sep",2949,2009.0,6592 ft/2009 m,,washington,-123.342304,,6592.0,47.778992,north america
,,ellsworth mountains,1966.0,vinson massif,"two permanent research stations on ross island: mcmurdo (united states),  scott (new zealand)",major mountain expedition,Antarctica,,"jan, dec",994,4897.0,16066 ft/4897 m,"american expedition sponsored by the national geographic society, the national science foundation, and the american alpine club",,-85.4167,,16066.0,-78.5833,antarctica
quebec,aeroport pierre élliot trudeau,canadian appalachians,,mont gosford,sherbrook,walk up,Canada,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3952,1193.0,3914 ft/1193 m,,,-70.867138,,3914.0,45.301335,north america
,seattle-tacoma,cascade range,1894.0,little tahoma,tacoma,basic snow/ice climb,United States,,"jun, jul, aug",3064,3395.0,11138 ft/3395 m,j.b. flett and henry garrison,washington,-121.712317,,11138.0,46.849553,north america
,"alma ata, kazakhstan",,,pik talgar,"alma ata, kazakhstan",,Kyrgyzstan,,"aug, sep",997,5020.0,16470 ft/5020 m,,,77.3,,16470.0,43.1,asia
,seattle-tacoma,cascade range,1933.0,azurite peak,"marblemount, winthrop",scramble,United States,,"jun, jul, aug, sep",4619,2560.0,8400 ft/2560 m,"hermann ulrichs, sidney shmerling",washington,-120.751914,,8400.0,48.656931,north america
,seattle-tacoma,cascade range,,honeymoon hump,"marblemount, winthrop",scramble,United States,,"jun, jul, aug, sep",4618,2344.0,7690 ft/2344 m,,washington,-120.851603,,7690.0,48.577947,north america
,sarajevo,dinaric alps,1902.0,vranica,fojnica,major mountain expedition,Bosnia and Herzegovina,millions of years ago,"may, jun, jul, aug",2467,2110.0,6923 ft/2110 m,uknown,,17.716389,,6923.0,43.956667,europe
,"aspen, colorado",elk range area,1873.0,snowmass mountain,"aspen, colorado",scramble,United States,,"jun, jul, aug, sep",238,4290.0,14092 ft/4290 m,hayden survey,colorado,-107.066,,14092.0,39.1189,north america
,"jackson, wyoming",teton range - yellowstone area,1923.0,south teton,"jackson, wyoming",basic snow/ice climb,United States,,,239,3814.0,12514 ft/3814 m,"a. ellingwood,  e. davis",wyoming,-110.818,,12514.0,43.7186,north america
,"oakland, california,  reno, nevada",sierra nevada,1903.0,"sill, mount","bishop, california",basic snow/ice climb,United States,,,234,4314.0,14153 ft/4314 m,"james hutchinson,  joseph n. le conte,  james moffitt,  robert pike",california,-118.502,,14153.0,37.0944,north america
,"cairo, egypt,  tel aviv, israel",,,"sinai, mount","abu rudeis, egypt,  (over 70 miles) elate, israel,  (nearly 170 miles) camping is permitted near the mountain, and st. catherine's monastery has limited accomodations",walk up,Egypt,,"apr, may, jun",235,2640.0,8651 ft/2640 m,,,33.95,,8651.0,28.5167,africa
,seattle-tacoma,cascade range,,new morning peak,"marblemount, winthrop",scramble,United States,,"jul, aug, sep, oct",4613,2204.0,7230 ft/2204 m,"john roper, steve shelton",washington,-120.8404,,7230.0,48.5757,north america
,manchester / birmingham,snowdonia,,snowdon,llanberis,walk up,United Kingdom,,"may, jun, jul, aug, sep",237,1085.0,3560 ft/1085 m,,,-4.076231,,3560.0,53.068497,europe
,"srinagar, india (via delhi)",karakoram ,1973.0,sasir kangri (or saser kangri),"leh, india",major mountain expedition,India,,"jul, aug, sep",230,7672.0,25170 ft/7672 m,indo-tibetan border police expedition,,77.75,,25170.0,34.8667,asia
,"punta arenas, chile",patagonia,1956.0,monte sarmiento,"punta arenas, chile",basic snow/ice climb,Chile,,"jan, feb, mar, dec",231,2300.0,7546 ft/2300 m,"carlo mauri,  c. meffei",,-70.8333,,7546.0,-54.45,south america
,"bern, switzerland",berner oberland,1861.0,schreckhorn,"grindelwald, switzerland",technical climb,Switzerland,,"jul, aug, sep",232,4078.0,13379 ft/4078 m,"sir leslie stephen, ulrich kaufmann, christian michel, and peter michel",,8.118124,,13379.0,46.589924,europe
,"redding, california",cascade range,,"shasta, mount","mt. shasta, california",basic snow/ice climb,United States,1786,"may, jun, jul",233,4317.0,14162 ft/4317 m,captain e. d. pearce of yreka,california,-122.195048,,14162.0,41.409357,north america
,seattle,cascade range,,temple,skykomish,,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, dec",1963,1038.0,3407 ft/1038 m,,washington,-121.415062,,3407.0,47.70309,north america
,"ngurah rai international airport, denpasar, bali",nusa tengarra,,gunung agung,"besakih and selat, bali",walk up,Indonesia,1963-64,"may, jun, jul, aug, sep",2228,3048.0,10000 ft/3048 m,,,115.5,dormant,10000.0,-8.35,asia
,"jackson, wy",teton range - yellowstone area,,static peak,"moose junction, wy",walk up,United States,,"jun, jul, aug, sep",2229,3445.0,11303 ft/3445 m,,wyoming,-110.817,,11303.0,40.8,north america
alberta,edmonton,canadian rockies,,"paul, mount",jasper,basic snow/ice climb,Canada,,"jun, jul, aug, sep",2226,2875.0,9432 ft/2875 m,,,-117.4308,,9432.0,52.6155,north america
,honiara,solomon islands,,"rano, mount",gizo,walk up,Solomon Islands,,"jun, jul, aug",2227,1700.0,5577 ft/1700 m,"not known, most likely local people",,,,5577.0,,australia/oceania
,"zurich, samedan",rhaetian alps,,"roseg, piz",st. moritz,technical climb,Switzerland,,"jun, jul, aug",2224,3937.0,12917 ft/3937 m,,,9.883083,,12917.0,46.37375,europe
,roanoke,blue ridge mountains,,apple orchard mountain,"buchanan, va",walk up,United States,,"mar, apr, may, jun, jul, aug, sep, oct, nov",2225,1288.0,4225 ft/1288 m,native americans,virginia,-79.5,,4225.0,37.5167,north america
alberta,calgary,canadian rockies,,grotto mountain,"canmore, ab",scramble,Canada,,,2222,2706.0,8878 ft/2706 m,,,-115.267,,8878.0,51.0833,north america
,manali,,,"shitidhar, mount",solang,scramble,India,,"jun, jul, aug",2220,5212.0,17100 ft/5212 m,,,,,17100.0,,asia
,denver,wind river range,,pingora,pinedale,technical climb,United States,,"jul, aug, sep",2221,3622.0,11884 ft/3622 m,"bonney, et al.",wyoming,-109.225,,11884.0,42.7792,north america
,,sierra nevada,,"irvine, mount",lone pine,,United States,,,1,4241.0,13914 ft/4241 m,,california,-118.262,,13914.0,36.5558,north america
alberta,calgary international airport,canadian rockies,1885.0,pilot mountain,calgary/canmore,scramble,Canada,,"jul, aug, sep",3217,2954.0,9692 ft/2954 m,geological survey party,,-115.825,,9692.0,51.1878,north america
,geneva,pennine alps,1860.0,alphubel,saas fee,basic snow/ice climb,Switzerland,,"jul, aug, sep",146,4206.0,13799 ft/4206 m,"leslie stephen, t. w. hinchliff, melchior anderegg, and peter perren",,7.864389,,13799.0,46.062257,europe
,"n'djamena, chad",tibesti,1938.0,emi koussi,"zouar or bardai, chad",walk up,Chad,,"jan, feb, mar, nov, dec",147,3415.0,11204 ft/3415 m,wilfred thesiger,,18.5,extinct,11204.0,19.8333,africa
,"kashi, china",kunlun,1981.0,kongur,"kashi, china",major mountain expedition,China,,"jun, jul, aug, sep",144,7719.0,25326 ft/7719 m,"michael ward and party,  (british expedition)",,75.35,,25326.0,38.6667,asia
,"melbourne, australia",south nsw great dividing range,1834.0,"kosciusko, mount","chalet, australia",walk up,Australia,,"jan, feb, mar, nov, dec",145,2228.0,7310 ft/2228 m,"lhotsky ,  (disputed, may have been count strzelecki in 1840)",,148.267,,7310.0,-36.45,australia/oceania
,"tokyo, japan",honshu,,kita dake,"ahiyasa, japan",scramble,Japan,,"jun, jul, aug, sep, oct",142,3192.0,10474 ft/3192 m,,,138.239,,10474.0,35.6734,asia
,"petropavlovsk-kamchatskiy, russia",kamchatka peninsula,1788.0,kliuchevskoi,"kozyrevsk, russia,  klyuchi, russia",major mountain expedition,Russia,"2005, ongoing","sep, oct",143,4750.0,15584 ft/4750 m,daniel gauss and two other members of the billings expedition,,160.633,active,15584.0,56.0667,asia
,longyearbyen airport,,,nordenski idtoppen,longyearbyen,scramble,Norway,,"apr, may",140,1049.0,3442 ft/1049 m,,,16.0,,3442.0,78.0,europe
,"salt lake city, utah",uinta range,,kings peak,"mountain view, wyoming,  kamas, utah",scramble,United States,,"jun, jul, aug, sep",141,4123.0,13528 ft/4123 m,,utah,-110.367,,13528.0,40.7833,north america
,mérida,cordillera de merida,1922.0,mucuñuque,mérida,scramble,Venezuela,,"jan, feb, mar, apr, dec",2468,4670.0,15322 ft/4670 m,moritz blumenthal and salomón villareal,,-70.802489,,15322.0,8.756357,south america
,"rawalpindi, pakistan",hindu kush ,1968.0,koyo zom,"gilgit, pakistan",major mountain expedition,Pakistan,,"jul, aug, sep",148,6889.0,22603 ft/6889 m,dr. stamm's austrian expedition,,73.0,,22603.0,36.5833,asia
,"paro, bhutan",bhutan himalaya,,kula kangri,"thimpu, bhutan",major mountain expedition,Bhutan,,"apr, may, sep, oct",149,7538.0,24731 ft/7538 m,,,90.6,,24731.0,28.2333,asia
,seattle-tacoma,cascade range,,deadwood peak,enumclaw,scramble,United States,,"jul, aug, sep",4505,1917.0,6290 ft/1917 m,,washington,-121.5191,,6290.0,46.88161,north america
,seattle-tacoma,cascade range,,tahtlum peak,"enumclaw, yakima",scramble,United States,,"jun, jul, aug, sep, oct",4504,2002.0,6567 ft/2002 m,,washington,-121.47747,,6567.0,46.86437,north america
,seattle-tacoma,cascade range,,old desolate,enumclaw,,United States,,"jul, aug, sep",4507,2175.0,7137 ft/2175 m,,washington,-121.750059,,7137.0,46.925055,north america
,seattle-tacoma,cascade range,,crystal mountain,enumclaw,scramble,United States,,"jul, aug, sep",4506,2133.0,6998 ft/2133 m,,washington,-121.50383,,6998.0,46.915924,north america
,el alto (bolivia),bolivian andes,,thipala (cerro),la paz (bolivia),walk up,Bolivia,,"apr, may, jun, jul, aug, sep, oct",4501,5045.0,16552 ft/5045 m,,,-68.209949,,16552.0,-16.232198,south america
,stuttgart,swabian alb,,falkenberg,schwäbisch gmünd,walk up,Germany,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",4500,776.0,2546 ft/776 m,,,10.0,,2546.0,48.0,europe
,seattle-tacoma,cascade range,,the palisades,enumclaw,scramble,United States,,"jul, aug, sep, oct",4503,2155.0,7070 ft/2155 m,,washington,-121.604487,,7070.0,46.9478,north america
,el alto (bolivia),bolivian andes,,mulamaniya,la paz (bolivia),walk up,Bolivia,,"apr, may, jun, jul, aug, sep, oct",4502,5010.0,16437 ft/5010 m,,,-68.221279,,16437.0,-16.235083,south america
,seattle-tacoma,cascade range,,burroughs mountain,enumclaw,walk up,United States,,"jul, aug, sep",4509,2386.0,7828 ft/2386 m,,washington,-121.71346,,7828.0,46.901487,north america
,klia,,,gunung ledang,tangkak,walk up,Malaysia,,"jan, feb, may, jun, jul, aug, dec",2088,1276.0,4186 ft/1276 m,,,102.667,,4186.0,2.33333,asia
,,,,"madison, mount",,basic snow/ice climb,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2089,1636.0,5367 ft/1636 m,,new hampshire,-71.2783,,5367.0,44.3283,north america
alberta/british columbia,calgary international,canadian rockies,1930.0,st. nicholas peak,"lake louise, ab",basic snow/ice climb,Canada,,"jul, aug",2082,2970.0,9744 ft/2970 m,"j m thorington, p kaufmann",,-116.501255,,9744.0,51.626649,north america
alberta,calgary international,canadian rockies,1900.0,"edith, mount","banff, alberta",scramble,Canada,,,2083,2554.0,8379 ft/2554 m,"j n collie, p stevens",,-115.668,,8379.0,51.2069,north america
alberta,calgary international,canadian rockies,1887.0,big sister,canmore alberta,scramble,Canada,,"jun, jul, aug, sep",2080,2936.0,9632 ft/2936 m,jj mcarthur,,-115.353012,,9632.0,51.014511,north america
alberta,calgary international,canadian rockies,1957.0,"fortress, the","canmore, alberta",scramble,Canada,,,2081,3000.0,9842 ft/3000 m,"h gmoser, l grillmair",,-115.239,,9842.0,50.8278,north america
,belfast international,ireland ,,knocknarea,sligo town,,Ireland,,"may, jun, jul, aug, sep",2086,329.0,1078 ft/329 m,,,-8.574722,,1078.0,54.258889,europe
,klia,,,gunung angsi,senawang,walk up,Malaysia,,"jan, feb, may, jun, jul, aug, dec",2087,825.0,2707 ft/825 m,,,102.167,,2707.0,2.75,asia
,kilimanjaro international airport,northeast tanzania,,mawenzi,arusha or moshi,scramble,Tanzania,,"jan, feb, jun, jul, aug, sep, oct, nov, dec",2084,5149.0,16893 ft/5149 m,e.oehler & f.klute,,37.353333,,16893.0,-3.075833,africa
,belfast international,ireland ,,benbulben,sligo town or drumcliff village,,Ireland,,"may, jun, jul, aug, sep",2085,530.0,1739 ft/530 m,,,-8.47525,,1739.0,54.366467,europe
,"carlos ibanez del campo international airport, punta arenas",central argentina-chile,,ladrillero,punta arenas,,Chile,,"jan, feb, dec",1537,1700.0,5577 ft/1700 m,,,,,5577.0,,south america
,augsburg/munich,,,hochvogel,reutte,scramble,Austria,,"jun, jul, aug, sep",1191,2580.0,8464 ft/2580 m,,,,,8464.0,,europe
,"narita international airport, kansai international airport",honshu,,tsubakuro dake (mt. tsubakuro),matsumoto,walk up,Japan,,"jul, aug, sep, oct",2538,2763.0,9065 ft/2763 m,,,137.716,,9065.0,36.3996,asia
,manchester,,,pendle hill,barley,walk up,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2539,558.0,1831 ft/558 m,,,-2.3,,1831.0,53.868889,europe
alberta,calgary,canadian rockies,1902.0,"murchison, mount",banff,scramble,Canada,,"jul, aug",3343,3333.0,10935 ft/3333 m,"collie, stutfield, weed, and kaufmann (guide)",,-116.674805,,10935.0,51.93347,north america
,barcelona,pyrenees,,taga,sant joan abadesses / ribes de freser,walk up,Spain,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2532,2040.0,6693 ft/2040 m,,,2.209454,,6693.0,42.281754,europe
,hoskins,bismarck archipelago,1997.0,wangore,kimbe,scramble,Papua New Guinea,unkown,"may, jun, jul",2533,1155.0,3789 ft/1155 m,"tom prescott, tony valuka",,,dormant,3789.0,,australia/oceania
,barcelona,pyrenees,,torreneules,ribes de freser (vall de núria),walk up,Spain,,"apr, may, jun, jul, aug, sep, oct",2530,2711.0,8894 ft/2711 m,,,2.180185,,8894.0,42.418451,europe
,,peruvian andes,1958.0,shaqsha,huaraz,technical climb,Peru,,jun,2531,5703.0,18711 ft/5703 m,chancy – d’aubigne – emslie – sipson – wallace,,-77.365799,,18711.0,-9.586063,south america
,belgrade,balkan mountains,,avala,belgrade,walk up,Serbia and Montenegro,undocumented,"may, jun, jul, aug, sep",2536,515.0,1690 ft/515 m,,,20.514167,extinct,1690.0,44.690278,europe
,seattle,cascade range,,dragontail peak,leavenworth,scramble,United States,,"jul, aug, sep, oct",2537,2694.0,8840 ft/2694 m,,washington,-120.832958,,8840.0,47.478986,north america
,internacional simón bolívar,coastal venezuela,1841.0,pico codazzi,colonia tovar,walk up,Venezuela,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2534,2429.0,7969 ft/2429 m,agustin codazzi,,-67.309142,,7969.0,10.412169,south america
,santiago mariño international - margarita island,coastal venezuela,,cerro copey,porlamar,walk up,Venezuela,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2535,960.0,3150 ft/960 m,,,-63.9114,,3150.0,10.9958,south america
,port moresby,,1986.0,aure scarp,goroka,major mountain expedition,Papua New Guinea,,"jul, aug, sep",2712,1556.0,5105 ft/1556 m,dr george carman,,145.436,,5105.0,7.03167,australia/oceania
,quito,ecuador andes,1880.0,iliniza sur,quito,technical climb,Ecuador,before records began,"jun, jul, aug",2713,5248.0,17218 ft/5248 m,"jean antoine, louis carrel (italy) during whymper's visit to ecuador",,-78.713611,,17218.0,-0.659444,south america
,,punjab himalaya,,gumburanjo,manali,scramble,India,,"jul, aug",3341,5300.0,17388 ft/5300 m,,,77.257097,,17388.0,32.961686,asia
,"casper, wyoming",,,laramie peak,esterbrook,walk up,United States,,"jul, aug, sep",2717,3131.0,10272 ft/3131 m,,wyoming,-105.442657,,10272.0,42.268163,north america
,niš,balkan mountains,,besna kobila,vranje,walk up,Serbia and Montenegro,,"apr, may, jun, jul, aug, sep, oct",2714,1923.0,6309 ft/1923 m,,,22.14,,6309.0,42.33,europe
,"jollygrant, dehradun",garhwal himalaya,1998.0,bhagirathi,uttarkashi,major mountain expedition,India,,"may, jun, sep",2715,6856.0,22493 ft/6856 m,"igor potan'kin, yuri koshelenko, vladimir kachkov",,79.15,,22493.0,30.85,asia
,,northwest iran ranges,,alvand,hammadan,,Iran,,"may, jun",2718,3428.0,11247 ft/3428 m,,,48.486667,extinct,11247.0,34.664167,asia
,"great falls, mt",central montana rockies,,"jackson, mount","west glacier, mt",scramble,United States,,"jul, aug",3093,3064.0,10052 ft/3064 m,,montana,-113.722057,,10052.0,48.600566,north america
,seattle,cascade range,1932.0,"bullen, mount",darrington,scramble,United States,,"may, jun, jul, aug, sep",348,1821.0,5974 ft/1821 m,"sydney schmerling, herman ulrichs",washington,-121.698732,,5974.0,48.195502,north america
,"bern, switzerland",berner oberland,1811.0,jungfrau,"grindelwald, switzerland",basic snow/ice climb,Switzerland,,"jul, aug, sep",128,4158.0,13642 ft/4158 m,"johann rudolf meyer, hieronymus meyer, alois volker, joseph bortis",,7.96667,,13642.0,46.5333,europe
,"antofagasta, chile, 
 (via santiago)",central argentina-chile,,llullaillaco,socompa (border post),scramble,Argentina,,"may, jul, aug, sep, oct",1197,6723.0,22058 ft/6723 m,,,-68.55,dormant,22058.0,-24.7167,south america
,hilo international airport,,,kilauea,"volcano town, hi",walk up,United States,yesterday,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3408,1247.0,4091 ft/1247 m,,hawaii,-155.283333,,4091.0,19.416667,north america
alberta,calgary,canadian rockies,1929.0,amery,banff or jasper,scramble,Canada,,"jul, aug",3345,3329.0,10922 ft/3329 m,"leopold amery, brian meredith",,-116.982036,,10922.0,52.037498,north america
,rìo gallegos,patagonia,1978.0,cerro mocho,el chaltèn,technical climb,Argentina,,"jan, feb, nov, dec",1832,1953.0,6407 ft/1953 m,bridwell and stranszewski,,-73.0833,,6407.0,-49.2833,south america
,verona or milano,brenta-adamello-garda group,1854.0,scarpaco,madonna di campiglio,scramble,Italy,,"jun, jul, aug, sep, oct",1833,3252.0,10669 ft/3252 m,anonymous austrian topographs,,10.6667,,10669.0,46.25,europe
,lima,peruvian andes,1939.0,ranrapalca,huaraz,technical climb,Peru,,"jun, jul, aug",1831,6162.0,20216 ft/6162 m,"brench, scmidt and others",,-77.4,,20216.0,-9.41667,south america
,lima,peruvian andes,1979.0,huandoy sur,huaraz,technical climb,Peru,,"jun, jul, aug",3799,6160.0,20210 ft/6160 m,y. astier,,-77.669477,,20210.0,-9.035816,south america
,lima,peruvian andes,,quitaraju,huaraz,technical climb,Peru,,"jun, jul, aug",3798,6040.0,19816 ft/6040 m,"e. cotter, d.mckay, m.nelson",,-77.665272,,19816.0,-8.89847,south america
,rìo gallegos,patagonia,1968.0,aguja saint exupery,el chaltèn,major mountain expedition,Argentina,,"jan, feb, nov, dec",1834,817.0,2680 ft/817 m,"buscaini, metzelin and others",,-73.0333,,2680.0,-49.2833,south america
,kathmandu,central nepal himalaya,1949.0,paldor,trisuli bazar,basic snow/ice climb,Nepal,,oct,1835,5928.0,19449 ft/5928 m,bill tillman,,,,19449.0,,asia
,salzburg,austrian alps,,seehorn,lofer,walk up,Austria,,"jun, jul, aug, sep",3795,2321.0,7616 ft/2321 m,people of the pasture kallbrunnalm,,12.853146,,7616.0,47.516853,europe
,salzburg,austrian alps,,salzburger hochthron,salzburg,walk up,Austria,,"jun, jul, aug, sep",3794,1853.0,6078 ft/1853 m,,,13.005066,,6078.0,47.71802,europe
,"innsbruck, munich",austrian alps,1859.0,hoher gleiersch,"scharnitz, seefeld ( austria), mittenwald( germany)",walk up,Austria,,"jun, jul, aug, sep",3797,2491.0,8170 ft/2491 m,v. pfaundler and party,,11.356087,,8170.0,47.360339,europe
,grenoble,,,"neige cordier, pic de",vallouise,scramble,France,,"jun, jul, aug, sep, oct",1839,3614.0,11857 ft/3614 m,"paul guillemin, emile pic, pierre estienne",,6.38333,,11857.0,44.95,europe
,"manchester, nh",new england upland,,north pack monadnock,"peterborough, nh",,United States,,"jan, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3791,694.0,2276 ft/694 m,,new hampshire,-71.865633,,2276.0,42.886195,north america
,"manchester, liverpool",lake district,,high street,"windermere, ambleside",walk up,United Kingdom,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3790,828.0,2718 ft/828 m,,,-2.863655,,2718.0,54.489785,europe
,"almaty, kazakhstan,  в?mqi, china,  moscow, russia",central tien shan,1931.0,khan tengri,"bishkek, kyrgyzstan,  karakol, kyrgzystan",major mountain expedition,Kazakhstan,,"aug, sep",137,7010.0,22998 ft/7010 m,m.t. pogrebetsky's expedition,,80.175,,22998.0,42.2108,asia
,salzburg,bavarian alps,1854.0,kahlersberg,berchtesgaden,scramble,Germany,,"jul, aug, sep",3792,2351.0,7711 ft/2351 m,"f. v. schilcher, g.helblehen",,13.032188,,7711.0,47.531111,europe
,gap or grenoble,,,pic de bure,superdévoluy,walk up,France,,,2154,2708.0,8884 ft/2708 m,,,5.91667,,8884.0,44.6167,europe
,"brescia - montichiari , bergamo - orio al serio",brenta-adamello-garda group,,pian della regina,"cevo, saviore",scramble,Italy,,"jun, jul, aug, sep",2407,2628.0,8622 ft/2628 m,,,,,8622.0,,europe
,lima,peruvian andes,,pariacaca,lima,basic snow/ice climb,Peru,,"apr, may, jun, jul, aug, sep, oct",2156,5750.0,18865 ft/5750 m,,,-76.050668,,18865.0,-11.96649,south america
british columbia,vancouver,british columbia coast ranges,1922.0,currie,pemberton/mt. currie,basic snow/ice climb,Canada,,"feb, mar, apr, may",2405,2549.0,8364 ft/2549 m,,,-122.781944,,8364.0,50.248333,north america
,glasgow,scottish highlands,,bidean nam bian,glen coe village,scramble,United Kingdom,,"feb, mar, may, jun",2150,1150.0,3773 ft/1150 m,,,-5.02976,,3773.0,56.6422,europe
,leeds/bradford,,,whernside,ingleton,walk up,United Kingdom,,"may, oct",2403,735.0,2411 ft/735 m,,,-2.403333,,2411.0,54.227778,europe
,luxembourg city,north france-west rhine area,,buurgplaatz,st. vith,walk up,Luxembourg,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",2400,559.0,1834 ft/559 m,n/a,,6.0281,,1834.0,50.1615,europe
,berne,pennine alps,1865.0,la ruinette,"arolla, les hauderes",scramble,Switzerland,,"jul, aug, sep",2153,3898.0,12787 ft/3898 m,whymper,,7.400361,,12787.0,45.979111,europe
,,,,balfrin,,,Switzerland,,"jul, aug",933,3795.0,12451 ft/3795 m,,,7.880278,,12451.0,46.135083,europe
,slc,,1961.0,castleton tower,"moab, utah",technical climb,United States,,"mar, apr, may, sep, oct",932,2029.0,6656 ft/2029 m,layton korr& huntley ingalls,utah,-109.367796,,6656.0,38.651205,north america
,kathmandu,central nepal himalaya,1961.0,nuptse,namche bazar,major mountain expedition,Nepal,,"apr, may, sep, oct",931,7861.0,25790 ft/7861 m,"dennis davis (gb), sherpa tashi",,86.883273,,25790.0,27.968479,asia
,"kathmandu, nepal",central nepal himalaya,1984.0,lobuche east,"namche bazaar, nepal",basic snow/ice climb,Nepal,,"apr, may, sep, oct, nov",930,6119.0,20075 ft/6119 m,laurence neilson and ang gyalzen sherpa,,86.7899,,20075.0,27.9595,asia
,salonika makedonia airport,,,athos,salonika,walk up,Greece,,"may, jun, jul, aug, sep",2158,2033.0,6670 ft/2033 m,,,,,6670.0,,europe
,,orobie alps,,cima di lemma,,walk up,Italy,,"jan, feb, mar, apr, may, jul, aug, sep, oct, nov, dec",2159,2348.0,7703 ft/2348 m,,,,,7703.0,,europe
,seattle/tacoma,olympic mountains,,mccartney peak,"quilicene, wa",technical climb,United States,,"jun, jul, aug, sep",2408,2068.0,6784 ft/2068 m,,washington,-123.387108,,6784.0,47.854293,north america
,calama,central argentina-chile,,lascar,san pedro de atacama,walk up,Chile,,,934,5641.0,18507 ft/5641 m,,,-67.737146,,18507.0,-23.365203,south america
,adana,taurus mountains,,medetsiz,adana,scramble,Turkey,,"may, jun, jul, aug, sep, oct",2829,3524.0,11562 ft/3524 m,,,37.0,,11562.0,37.0,asia
,ran (asturias),cordillera cantabrica,1892.0,peña santa de castilla,cangas de onis,scramble,Spain,,"jun, jul, aug, sep",1955,2596.0,8517 ft/2596 m,"paul labrouche, francois salles, vicente marcos",,-4.932175,,8517.0,43.202173,europe
,lima,peruvian andes,,maparaju,huaraz,basic snow/ice climb,Peru,,"jun, jul, aug, sep",1991,5326.0,17474 ft/5326 m,,,-77.303333,,17474.0,-9.45,south america
,oporto,,,bouÁa,bragan,,Portugal,,"jan, feb, mar, apr, may, sep, oct, nov, dec",1957,1437.0,4715 ft/1437 m,,,,,4715.0,,europe
,"geneva, milano",pennine alps,1876.0,taschhorn,"täsch, saas fee,zermatt",,Switzerland,,"jul, aug, sep",1956,4490.0,14731 ft/4490 m,"j. jackson, guide christion and ulich almer",,7.857199,,14731.0,46.083144,europe
,innsbruck,kitzbuhel,,ellmauer halt,ellmau,scramble,Austria,,"jun, jul, aug, sep, oct",1951,2344.0,7690 ft/2344 m,,,12.303056,,7690.0,47.562222,europe
,calvi/nice,tyrrhennian islands,2002.0,monte cinto,calvi,scramble,France,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",1950,2706.0,8878 ft/2706 m,me,,8.945617,,8878.0,42.379683,europe
,,central argentina-chile,1968.0,aguja de la s,el chaltèn,major mountain expedition,Argentina,,"jan, feb, nov, dec",1829,2335.0,7661 ft/2335 m,amy and others,,-73.05,,7661.0,-49.3,south america
,fairbanks,wrangell mountains,,castle peak,fairbanks,,United States,,jul,1958,3105.0,10190 ft/3105 m,,alaska,-143.444,,10190.0,61.5978,north america
,,central argentina-chile,1962.0,cerro poincenot,el chaltèn,major mountain expedition,Argentina,,"jan, feb, nov, dec",1828,3002.0,9849 ft/3002 m,cochrane and whillians,,-73.05,,9849.0,-49.25,south america
,"st. george, utah",colorado plateau,,santa-clara,"st. george, utah",scramble,United States,,"jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec",3249,1465.0,4806 ft/1465 m,,utah,-113.625,extinct,4806.0,37.256944,north america
,"jakarta, soekarno hatta intl airport",,,"gede, mount",,scramble,Indonesia,1957,"jun, jul, aug, sep, oct, nov",3248,2958.0,9705 ft/2958 m,?,,106.98,dormant,9705.0,-6.78,asia
,sea-tac airport,cascade range,,mailbox peak,north bend,walk up,United States,,"apr, may, jun, jul, aug, sep, oct",3242,1476.0,4841 ft/1476 m,,washington,-121.63942,,4841.0,47.462465,north america
,seattle,cascade range,,grindstone mountain,"leavenworth, wa",scramble,United States,,"jun, jul, aug, sep",3241,2296.0,7533 ft/2296 m,,washington,-120.913339,,7533.0,47.636651,north america
